City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,Hualmay,-11.0964,-77.6139,64.35,74,81,12.53,PE,2022-09-25 15:17:05
128,Waingapu,-9.6567,120.2641,78.39,80,97,4.09,ID,2022-09-25 15:17:06
129,Chowchilla,37.123,-120.2602,68.02,64,0,0.0,US,2022-09-25 15:17:06
130,Bjornevatn,69.6672,29.9847,48.54,66,0,9.22,NO,2022-09-25 15:17:07
131,Victoria,22.2855,114.1577,84.38,80,4,5.99,HK,2022-09-25 15:16:33
132,Havre-Saint-Pierre,50.2334,-63.5986,50.36,66,100,19.57,CA,2022-09-25 15:17:07
133,Souillac,-20.5167,57.5167,71.98,73,40,12.66,MU,2022-09-25 15:17:08
134,Luang Prabang,19.8856,102.1347,72.64,94,19,1.07,LA,2022-09-25 15:17:08
135,Turukhansk,65.8167,87.9833,27.07,95,100,3.38,RU,2022-09-25 15:17:09
136,Bontang,0.1333,117.5,78.12,85,100,6.55,ID,2022-09-25 15:18:09
137,Illapel,-31.6308,-71.1653,61.92,50,87,5.53,CL,2022-09-25 15:18:10
138,Reo,12.3167,-2.4667,89.76,50,14,3.31,BF,2022-09-25 15:18:10
139,La Pila,22.05,-100.8667,56.88,58,4,2.59,MX,2022-09-25 15:18:10
140,Kidal,18.4411,1.4078,104.88,11,23,10.63,ML,2022-09-25 15:18:11
141,Kondapalle,16.6167,80.5333,85.05,75,92,4.99,IN,2022-09-25 15:18:11
142,Sicamous,50.8331,-118.9856,43.77,71,12,1.81,CA,2022-09-25 15:15:24
143,Semnan,35.5729,53.3971,79.07,40,1,10.54,IR,2022-09-25 15:18:12
144,Guerrero Negro,27.9769,-114.0611,73.42,82,1,9.93,MX,2022-09-25 15:18:12
145,Margate,51.3813,1.3862,63.3,55,66,4.0,GB,2022-09-25 15:18:12
146,Narsaq,60.9167,-46.05,53.82,64,100,6.93,GL,2022-09-25 15:18:13
147,Sabang,5.8933,95.3214,82.2,79,100,16.69,ID,2022-09-25 15:18:14
148,Naze,28.3667,129.4833,77.92,83,17,8.61,JP,2022-09-25 15:18:14
149,Shache,38.4167,77.2406,73.56,31,100,11.63,CN,2022-09-25 15:18:15
150,Karakol,42.4907,78.3936,55.72,37,0,4.12,KG,2022-09-25 15:18:16
151,Kununurra,-15.7667,128.7333,78.78,78,99,5.75,AU,2022-09-25 15:18:16
152,Inhambane,-23.865,35.3833,75.92,73,0,12.5,MZ,2022-09-25 15:18:17
153,Yuxia,34.0615,108.6291,65.01,64,89,6.44,CN,2022-09-25 15:18:17
154,Kamennomostskiy,44.2983,40.1856,53.82,78,4,4.38,RU,2022-09-25 15:18:18
155,Swan River,52.1058,-101.2676,53.49,58,0,9.22,CA,2022-09-25 15:18:18
156,Salalah,17.0151,54.0924,82.49,89,75,11.5,OM,2022-09-25 15:15:31
157,Upernavik,72.7868,-56.1549,32.13,78,100,11.03,GL,2022-09-25 15:18:19
158,Kamaishi,39.2667,141.8833,64.17,88,95,4.56,JP,2022-09-25 15:18:19
159,Tuktoyaktuk,69.4541,-133.0374,30.2,86,100,11.5,CA,2022-09-25 15:18:20
160,Douglas,41.3,-96.167,67.6,55,0,12.66,US,2022-09-25 15:18:20
161,Srednekolymsk,67.45,153.6833,30.52,73,13,6.87,RU,2022-09-25 15:18:20
162,Westport,41.1415,-73.3579,70.75,71,75,8.05,US,2022-09-25 15:14:50
163,Beringovskiy,63.05,179.3167,33.28,61,36,10.87,RU,2022-09-25 15:18:21
164,Cockburn Town,21.4612,-71.1419,82.94,78,89,16.71,TC,2022-09-25 15:18:21
165,Constitucion,-35.3333,-72.4167,54.99,67,53,9.26,CL,2022-09-25 15:18:22
166,Lebu,-37.6167,-73.65,52.18,66,7,3.22,CL,2022-09-25 15:17:53
167,Te Anau,-45.4167,167.7167,50.86,92,97,1.72,NZ,2022-09-25 15:18:22
168,Cherskiy,68.75,161.3,28.49,78,99,5.01,RU,2022-09-25 15:18:23
169,Opuwo,-18.0607,13.84,88.5,9,32,18.07,NA,2022-09-25 15:18:23
170,Bergen,60.392,5.328,51.08,90,75,20.71,NO,2022-09-25 15:18:23
171,Nemuro,43.3236,145.575,61.34,83,93,2.86,JP,2022-09-25 15:18:24
172,Lorengau,-2.0226,147.2712,81.55,73,98,10.98,PG,2022-09-25 15:18:24
173,Disna,55.568,28.1971,52.38,53,100,9.08,BY,2022-09-25 15:18:25
174,Hami,42.8,93.45,74.1,12,0,6.98,CN,2022-09-25 15:18:25
175,Tokur,53.1333,132.9,45.41,97,100,4.05,RU,2022-09-25 15:18:26
176,Maardu,59.4767,25.025,53.6,67,75,5.75,EE,2022-09-25 15:18:26
177,Touros,-5.1989,-35.4608,85.44,55,2,16.58,BR,2022-09-25 15:18:27
178,Nantucket,41.2835,-70.0995,71.71,61,0,16.11,US,2022-09-25 15:18:27
179,Lavrentiya,65.5833,-171.0,36.21,80,100,9.24,RU,2022-09-25 15:18:27
180,Atikokan,48.7555,-91.6216,52.9,87,99,9.93,CA,2022-09-25 15:18:28
181,Komsomolskiy,40.4272,71.7189,74.12,35,0,2.3,UZ,2022-09-25 15:18:28
182,Husavik,66.0449,-17.3389,36.93,89,100,47.62,IS,2022-09-25 15:19:29
183,Nikolskoye,59.7035,30.7861,48.78,97,100,2.37,RU,2022-09-25 15:19:29
184,Guangshui,31.6199,113.9978,61.74,75,29,1.97,CN,2022-09-25 15:19:29
185,Wanning,18.8003,110.3967,78.01,85,36,7.63,CN,2022-09-25 15:19:30
186,Jequitinhonha,-16.4339,-41.0033,69.37,88,100,2.89,BR,2022-09-25 15:19:30
187,Kieta,-6.2167,155.6333,77.97,82,42,1.14,PG,2022-09-25 15:19:31
188,Saint-Augustin,51.226,-58.6502,49.64,83,100,15.84,CA,2022-09-25 15:19:31
