Index,date,prcp,tobs
267,2011-06-02,0.08,75.0
268,2011-06-03,0.63,71.0
269,2011-06-04,4.43,69.0
270,2011-06-05,4.02,69.0
271,2011-06-06,0.02,74.0
272,2011-06-07,0.06,71.0
273,2011-06-08,0.04,74.0
274,2011-06-09,0.01,74.0
275,2011-06-10,0.02,75.0
276,2011-06-11,0.01,73.0
277,2011-06-12,0.12,73.0
278,2011-06-13,0.16,73.0
279,2011-06-14,0.0,75.0
280,2011-06-15,0.0,75.0
281,2011-06-16,0.06,74.0
282,2011-06-17,0.0,74.0
283,2011-06-18,0.02,75.0
284,2011-06-19,0.09,74.0
285,2011-06-20,0.03,73.0
286,2011-06-21,0.54,72.0
287,2011-06-22,0.22,74.0
288,2011-06-23,0.03,72.0
289,2011-06-24,0.21,75.0
290,2011-06-25,0.0,76.0
291,2011-06-26,0.04,74.0
292,2011-06-27,0.03,74.0
293,2011-06-28,0.1,74.0
294,2011-06-29,0.0,74.0
295,2011-06-30,0.0,74.0
296,2012-06-01,0.08,71.0
297,2012-06-02,0.03,71.0
298,2012-06-03,0.0,75.0
299,2012-06-04,0.0,72.0
300,2012-06-05,0.0,72.0
301,2012-06-06,0.03,73.0
302,2012-06-07,0.0,73.0
303,2012-06-08,0.0,73.0
304,2012-06-09,0.0,74.0
305,2012-06-10,0.0,73.0
306,2012-06-11,0.04,72.0
307,2012-06-12,0.02,72.0
308,2012-06-13,0.05,70.0
309,2012-06-14,0.08,72.0
310,2012-06-15,0.0,72.0
311,2012-06-16,0.0,72.0
312,2012-06-17,0.02,74.0
313,2012-06-18,0.0,73.0
314,2012-06-19,0.01,73.0
315,2012-06-20,0.14,70.0
316,2012-06-21,0.02,73.0
317,2012-06-22,0.01,72.0
318,2012-06-23,0.28,73.0
319,2012-06-24,0.27,69.0
320,2012-06-25,0.04,72.0
321,2012-06-26,0.22,71.0
322,2012-06-27,0.23,71.0
323,2012-06-28,0.0,73.0
324,2012-06-29,0.06,73.0
325,2012-06-30,0.0,72.0
326,2013-06-01,0.05,75.0
327,2013-06-02,0.02,75.0
328,2013-06-03,0.02,75.0
329,2013-06-04,0.0,75.0
330,2013-06-05,0.0,74.0
331,2013-06-06,0.03,74.0
332,2013-06-07,0.0,74.0
333,2013-06-08,0.0,75.0
334,2013-06-09,0.0,75.0
335,2013-06-10,0.02,74.0
336,2013-06-11,0.0,75.0
337,2013-06-12,0.0,75.0
338,2013-06-13,0.02,74.0
339,2013-06-14,0.08,72.0
340,2013-06-15,0.01,74.0
341,2013-06-16,0.0,74.0
342,2013-06-17,0.01,74.0
343,2013-06-18,0.02,74.0
344,2013-06-19,0.0,74.0
345,2013-06-20,0.0,72.0
346,2013-06-21,0.22,70.0
347,2013-06-22,0.27,75.0
348,2013-06-23,0.03,74.0
349,2013-06-24,0.02,71.0
350,2013-06-25,0.05,71.0
351,2013-06-26,1.0,70.0
352,2013-06-27,0.1,73.0
353,2013-06-28,0.02,71.0
354,2013-06-29,0.22,71.0
355,2013-06-30,0.01,77.0
356,2014-06-01,0.0,77.0
357,2014-06-02,0.0,74.0
358,2014-06-03,0.0,73.0
359,2014-06-04,0.0,75.0
