Index,date,prcp,tobs
397,2016-12-03,0.04,71.0
398,2016-12-04,0.1,69.0
399,2016-12-05,0.34,68.0
400,2016-12-06,0.02,70.0
401,2016-12-07,0.17,71.0
402,2016-12-08,0.03,72.0
403,2016-12-09,0.34,70.0
404,2016-12-10,0.02,71.0
405,2016-12-11,0.02,72.0
406,2016-12-12,0.01,68.0
407,2016-12-13,0.1,68.0
408,2016-12-14,0.05,70.0
409,2016-12-15,0.02,70.0
410,2016-12-16,0.01,63.0
411,2016-12-17,0.11,71.0
412,2016-12-18,0.29,67.0
413,2016-12-19,0.21,69.0
414,2016-12-20,0.02,74.0
415,2016-12-21,0.03,72.0
416,2016-12-22,0.17,70.0
417,2016-12-23,0.1,69.0
418,2016-12-24,0.14,73.0
419,2016-12-25,0.03,74.0
420,2016-12-26,0.26,74.0
421,2016-12-27,0.03,73.0
422,2016-12-28,0.09,71.0
423,2016-12-29,0.18,72.0
424,2016-12-30,0.21,69.0
425,2016-12-31,0.62,71.0
426,2010-12-01,0.03,73.0
427,2010-12-02,0.06,73.0
428,2010-12-03,0.22,71.0
429,2010-12-04,0.0,72.0
430,2010-12-05,0.0,71.0
431,2010-12-06,0.0,64.0
432,2010-12-07,0.0,71.0
433,2010-12-08,0.0,62.0
434,2010-12-09,0.12,70.0
435,2010-12-10,2.01,64.0
436,2010-12-11,0.26,64.0
437,2010-12-12,0.01,70.0
438,2010-12-13,0.65,70.0
439,2010-12-14,0.0,69.0
440,2010-12-15,0.0,72.0
441,2010-12-16,0.0,68.0
442,2010-12-17,0.0,68.0
443,2010-12-18,0.0,65.0
444,2010-12-19,2.43,67.0
445,2010-12-20,2.55,68.0
446,2010-12-21,0.49,70.0
447,2010-12-22,0.05,67.0
448,2010-12-23,0.02,73.0
449,2010-12-24,0.0,70.0
450,2010-12-26,,68.0
451,2010-12-27,0.15,72.0
452,2010-12-28,0.96,69.0
453,2010-12-29,0.01,71.0
454,2010-12-30,0.05,70.0
455,2010-12-31,0.0,75.0
456,2011-12-01,0.04,70.0
457,2011-12-02,0.24,68.0
458,2011-12-03,0.02,73.0
459,2011-12-04,0.0,71.0
460,2011-12-05,0.0,71.0
461,2011-12-06,0.0,70.0
462,2011-12-07,0.04,70.0
463,2011-12-08,0.0,70.0
464,2011-12-09,0.02,70.0
465,2011-12-10,0.36,72.0
466,2011-12-12,,74.0
467,2011-12-13,0.47,71.0
468,2011-12-14,0.1,70.0
469,2011-12-15,0.04,70.0
470,2011-12-16,0.07,69.0
471,2011-12-18,,71.0
472,2011-12-19,0.16,70.0
473,2011-12-20,0.05,70.0
474,2011-12-21,0.25,72.0
475,2011-12-22,0.12,72.0
476,2011-12-24,,72.0
477,2011-12-26,,72.0
478,2011-12-27,0.03,72.0
479,2011-12-29,,70.0
480,2011-12-30,0.0,66.0
481,2011-12-31,0.08,71.0
482,2012-12-01,0.0,68.0
483,2012-12-03,,79.0
484,2012-12-04,0.0,76.0
485,2012-12-05,0.08,73.0
486,2012-12-06,0.0,75.0
487,2012-12-07,0.0,71.0
488,2012-12-10,,76.0
489,2012-12-11,0.0,74.0
490,2012-12-12,0.03,73.0
491,2012-12-13,0.25,73.0
492,2012-12-14,0.22,74.0
493,2012-12-17,,73.0
494,2012-12-18,0.22,72.0
495,2012-12-19,0.29,76.0
496,2012-12-21,,75.0
497,2012-12-22,0.0,77.0
498,2012-12-24,,74.0
499,2012-12-26,,76.0
500,2012-12-28,,75.0
501,2012-12-31,,76.0
502,2013-12-02,,73.0
503,2013-12-03,0.2,75.0
504,2013-12-04,0.0,73.0
505,2013-12-05,0.0,73.0
506,2013-12-06,0.05,74.0
507,2013-12-07,0.04,78.0
508,2013-12-08,0.0,78.0
509,2013-12-09,0.0,78.0
510,2013-12-10,0.05,75.0
511,2013-12-11,0.0,75.0
512,2013-12-12,0.0,75.0
513,2013-12-13,0.07,74.0
514,2013-12-14,0.0,77.0
515,2013-12-16,,72.0
516,2013-12-17,0.0,72.0
517,2013-12-18,0.02,73.0
518,2013-12-19,0.52,71.0
519,2013-12-20,0.1,75.0
520,2013-12-21,0.07,76.0
521,2013-12-23,,74.0
522,2013-12-24,0.0,75.0
523,2013-12-26,,74.0
524,2013-12-27,0.03,75.0
525,2013-12-28,0.01,73.0
526,2013-12-29,0.0,72.0
527,2013-12-30,0.0,72.0
528,2013-12-31,0.23,75.0
529,2014-12-01,0.0,74.0
530,2014-12-02,0.0,74.0
531,2014-12-03,0.24,72.0
532,2014-12-04,1.51,73.0
533,2014-12-05,0.26,70.0
534,2014-12-06,0.48,76.0
535,2014-12-08,,78.0
536,2014-12-09,0.0,76.0
537,2014-12-10,0.0,78.0
538,2014-12-11,0.1,74.0
539,2014-12-12,0.07,71.0
540,2014-12-13,0.0,78.0
541,2014-12-15,,70.0
542,2014-12-16,0.0,74.0
543,2014-12-17,0.01,74.0
544,2014-12-18,0.03,75.0
545,2014-12-19,0.01,76.0
546,2014-12-20,0.0,78.0
547,2014-12-22,,72.0
548,2014-12-23,0.58,73.0
549,2014-12-25,,76.0
550,2014-12-29,,72.0
551,2014-12-31,,72.0
552,2015-12-01,0.0,78.0
553,2015-12-02,0.0,76.0
554,2015-12-03,0.17,76.0
555,2015-12-04,0.03,77.0
556,2015-12-07,,79.0
557,2015-12-08,0.05,73.0
558,2015-12-09,0.02,79.0
559,2015-12-10,0.12,77.0
560,2015-12-11,0.03,78.0
561,2015-12-12,0.17,76.0
562,2015-12-13,0.0,78.0
